Date,Open,High,Low,Close,Adj Close,Volume
6-May-15,17934.81,18019.75,17733.12,17841.98,17841.98,1004300
7-May-15,17840.25,17973.07,17796.94,17924.06,17924.06,809200
8-May-15,17933.64,18205.23,17933.64,18191.11,18191.11,949600
11-May-15,18187.78,18199.95,18089.11,18105.17,18105.17,860500
12-May-15,18096.16,18119.18,17924.8,18068.23,18068.23,892700
13-May-15,18070.37,18132.79,18039.2,18060.49,18060.49,851800
14-May-15,18062.49,18255.21,18062.49,18252.24,18252.24,915800
15-May-15,18251.97,18272.72,18215.07,18272.56,18272.56,1082200
18-May-15,18267.25,18325.54,18244.26,18298.88,18298.88,790800
19-May-15,18300.48,18351.36,18261.35,18312.39,18312.39,872000
20-May-15,18315.06,18350.13,18272.56,18285.4,18285.4,801900
21-May-15,18285.87,18314.89,18249.9,18285.74,18285.74,842700
22-May-15,18286.87,18286.87,18217.14,18232.02,18232.02,788900
26-May-15,18229.75,18229.75,17990.02,18041.54,18041.54,1094400
27-May-15,18045.08,18190.35,18045.08,18162.99,18162.99,964000
28-May-15,18154.14,18154.14,18066.4,18126.12,18126.12,675100
29-May-15,18128.12,18128.12,17967.74,18010.68,18010.68,1398100
1-Jun-15,18017.82,18105.83,17982.06,18040.37,18040.37,856400
2-Jun-15,18033.33,18091.87,17925.33,18011.94,18011.94,775500
3-Jun-15,18018.42,18168.09,18010.42,18076.27,18076.27,731200
4-Jun-15,18072.47,18087.15,17876.95,17905.58,17905.58,934700
5-Jun-15,17905.38,17940.78,17822.9,17849.46,17849.46,891400
8-Jun-15,17849.46,17852.35,17760.61,17766.55,17766.55,863000
9-Jun-15,17766.95,17817.83,17714.97,17764.04,17764.04,905500
10-Jun-15,17765.38,18045.14,17765.38,18000.4,18000.4,969800
11-Jun-15,18001.27,18109.77,18001.27,18039.37,18039.37,894900
12-Jun-15,18035.83,18035.83,17857.07,17898.84,17898.84,837600
15-Jun-15,17890.76,17890.76,17698.42,17791.17,17791.17,919200
16-Jun-15,17787.43,17919.62,17774.12,17904.48,17904.48,775100
17-Jun-15,17909.58,17998,17839.65,17935.74,17935.74,924100
18-Jun-15,17944.61,18174.73,17944.61,18115.84,18115.84,944600
19-Jun-15,18116.24,18117.71,18010.58,18015.95,18015.95,2583000
22-Jun-15,18027.63,18181.67,18027.63,18119.78,18119.78,777800
23-Jun-15,18121.78,18188.81,18108.1,18144.07,18144.07,759700
24-Jun-15,18139.1,18139.1,17966.07,17966.07,17966.07,1049800
25-Jun-15,17977.11,18036.1,17890.36,17890.36,17890.36,789900
26-Jun-15,17892.03,18013.15,17892.03,17946.68,17946.68,1581200
29-Jun-15,17936.74,17936.74,17590.55,17596.35,17596.35,1163400
